cipcode,name
1.0308, Agroecology and Sustainable Agriculture
1.0901, Animal Sciences, General
1.0902, Agricultural Animal Breeding
1.0903, Animal Health
1.0904, Animal Nutrition
1.0905, Dairy Science
1.0906, Livestock Management
1.0907, Poultry Science
1.0999, Animal Sciences, Other
1.1001, Food Science
1.1002, Food Technology and Processing
1.1099, Food Science and Technology, Other
1.1101, Plant Sciences, General
1.1102, Agronomy and Crop Science
1.1103, Horticultural Science
1.1104, Agricultural and Horticultural Plant Breeding
1.1105, Plant Protection and Integrated Pest Management
1.1106, Range Science and Management
1.1199, Plant Sciences, Other
1.1201, Soil Science and Agronomy, General
1.1202, Soil Chemistry and Physics
1.1203, Soil Microbiology
1.1299, Soil Sciences, Other
3.0101, Natural Resources/Conservation, General
3.0103, Environmental Studies
3.0104, Environmental Science
3.0199, Natural Resources Conservation and Research, Other
3.0205, Water, Wetlands, and Marine Resources Management
3.0502, Forest Sciences and Biology
3.0508, Urban Forestry
3.0509, Wood Science and Wood Products/Pulp and Paper Technology
3.0601, Wildlife, Fish and Wildlands Science and Management
4.0902, Architectural and Building Sciences/Technology
9.0702, Digital Communication and Media/Multimedia
10.0304, Animation, Interactive Technology, Video Graphics and Special Effects
11.0101, Computer and Information Sciences, General
11.0102, Artificial Intelligence
11.0103, Information Technology
11.0104, Informatics
11.0199, Computer and Information Sciences, Other
11.0201, Computer Programming/Programmer, General
11.0202, Computer Programming, Specific Applications
11.0203, Computer Programming, Vendor/Product Certification
11.0299, Computer Programming, Other
11.0301, Data Processing and Data Processing Technology/Technician
11.0401, Information Science/Studies
11.0501, Computer Systems Analysis/Analyst
11.0701, Computer Science
11.0801, Web Page, Digital/Multimedia and Information Resources Design
11.0802, Data Modeling/Warehousing and Database Administration
11.0803, Computer Graphics
11.0804, Modeling, Virtual Environments and Simulation
11.0899, Computer Software and Media Applications, Other
11.0901, Computer Systems Networking and Telecommunications
11.1001, Network and System Administration/Administrator
11.1002, System, Networking, and LAN/WAN Management/Manager
11.1003, Computer and Information Systems Security/Information Assurance
11.1004, Web/Multimedia Management and Webmaster
11.1005, Information Technology Project Management
11.1006, Computer Support Specialist
11.1099, Computer/Information Technology Services Administration and Management, Other
13.0501, Educational/Instructional Technology
13.0601, Educational Evaluation and Research
13.0603, Educational Statistics and Research Methods
14.0101, Engineering, General
14.0102, Pre-Engineering
14.0201, Aerospace, Aeronautical and Astronautical/Space Engineering
14.0301, Agricultural Engineering
14.0401, Architectural Engineering
14.0501, Bioengineering and Biomedical Engineering
14.0601, Ceramic Sciences and Engineering
14.0701, Chemical Engineering
14.0702, Chemical and Biomolecular Engineering
14.0799, Chemical Engineering, Other
14.0801, Civil Engineering, General
14.0802, Geotechnical and Geoenvironmental Engineering
14.0803, Structural Engineering
14.0804, Transportation and Highway Engineering
14.0805, Water Resources Engineering
14.0899, Civil Engineering, Other
14.0901, Computer Engineering, General
14.0902, Computer Hardware Engineering
14.0903, Computer Software Engineering
14.0999, Computer Engineering, Other
14.1001, Electrical and Electronics Engineering
14.1003, Laser and Optical Engineering
14.1004, Telecommunications Engineering
14.1099, Electrical, Electronics and Communications Engineering, Other
14.1101, Engineering Mechanics
14.1201, Engineering Physics/Applied Physics
14.1301, Engineering Science
14.1401, Environmental/Environmental Health Engineering
14.1801, Materials Engineering
14.1901, Mechanical Engineering
14.2001, Metallurgical Engineering
14.2101, Mining and Mineral Engineering
14.2201, Naval Architecture and Marine Engineering
14.2301, Nuclear Engineering
14.2401, Ocean Engineering
14.2501, Petroleum Engineering
14.2701, Systems Engineering
14.2801, Textile Sciences and Engineering
14.3201, Polymer/Plastics Engineering
14.3301, Construction Engineering
14.3401, Forest Engineering
14.3501, Industrial Engineering
14.3601, Manufacturing Engineering
14.3701, Operations Research
14.3801, Surveying Engineering
14.3901, Geological/Geophysical Engineering
14.4001, Paper Science and Engineering
14.4101, Electromechanical Engineering
14.4201, Mechatronics, Robotics, and Automation Engineering
14.4301, Biochemical Engineering
14.4401, Engineering Chemistry
14.4501, Biological/Biosystems Engineering
14.9999, Engineering, Other
15.0000, Engineering Technology, General
15.0101, Architectural Engineering Technology/Technician
15.0201, Civil Engineering Technology/Technician
15.0303, Electrical, Electronic and Communications Engineering Technology/Technician
15.0304, Laser and Optical Technology/Technician
15.0305, Telecommunications Technology/Technician
15.0306, Integrated Circuit Design
15.0399, Electrical and Electronic Engineering Technologies/Technicians, Other
15.0501, Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician
15.0503, Energy Management and Systems Technology/Technician
15.0505, Solar Energy Technology/Technician
15.0506, Water Quality and Wastewater Treatment Management and Recycling Technology/Technician
15.0507, Environmental Engineering Technology/Environmental Technology
15.0508, Hazardous Materials Management and Waste Technology/Technician
15.0599, Environmental Control Technologies/Technicians, Other
15.0607, Plastics and Polymer Engineering Technology/Technician
15.0611, Metallurgical Technology/Technician
15.0612, Industrial Technology/Technician
15.0613, Manufacturing Engineering Technology/Technician
15.0614, Welding Engineering Technology/Technician
15.0615, Chemical Engineering Technology/Technician
15.0616, Semiconductor Manufacturing Technology
15.0699, Industrial Production Technologies/Technicians, Other
15.0701, Occupational Safety and Health Technology/Technician
15.0702, Quality Control Technology/Technician
15.0703, Industrial Safety Technology/Technician
15.0704, Hazardous Materials Information Systems Technology/Technician
15.0799, Quality Control and Safety Technologies/Technicians, Other
15.0801, Aeronautical/Aerospace Engineering Technology/Technician
15.0803, Automotive Engineering Technology/Technician
15.0805, Mechanical Engineering/Mechanical Technology/Technician
15.0899, Mechanical Engineering Related Technologies/Technicians, Other
15.0901, Mining Technology/Technician
15.0903, Petroleum Technology/Technician
15.0999, Mining and Petroleum Technologies/Technicians, Other
15.1001, Construction Engineering Technology/Technician
15.1102, Surveying Technology/Surveying
15.1103, Hydraulics and Fluid Power Technology/Technician
15.1199, Engineering-Related Technologies, Other
15.1201, Computer Engineering Technology/Technician
15.1202, Computer Technology/Computer Systems Technology
15.1203, Computer Hardware Technology/Technician
15.1204, Computer Software Technology/Technician
15.1299, Computer Engineering Technologies/Technicians, Other
15.1301, Drafting and Design Technology/Technician, General
15.1302, CAD/CADD Drafting and/or Design Technology/Technician
15.1303, Architectural Drafting and Architectural CAD/CADD
15.1304, Civil Drafting and Civil Engineering CAD/CADD
15.1305, Electrical/Electronics Drafting and Electrical/Electronics CAD/CADD
15.1306, Mechanical Drafting and Mechanical Drafting CAD/CADD
15.1399, Drafting/Design Engineering Technologies/Technicians, Other
15.1401, Nuclear Engineering Technology/Technician
15.1501, Engineering/Industrial Management
15.1502, Engineering Design
15.1503, Packaging Science
15.1599, Engineering-Related Fields, Other
15.1601, Nanotechnology
15.9999, Engineering Technologies and Engineering-Related Fields, Other
26.0101, Biology/Biological Sciences, General
26.0102, Biomedical Sciences, General
26.0202, Biochemistry
26.0203, Biophysics
26.0204, Molecular Biology
26.0205, Molecular Biochemistry
26.0206, Molecular Biophysics
26.0207, Structural Biology
26.0208, Photobiology
26.0209, Radiation Biology/Radiobiology
26.0210, Biochemistry and Molecular Biology
26.0299, Biochemistry, Biophysics and Molecular Biology, Other
26.0301, Botany/Plant Biology
26.0305, Plant Pathology/Phytopathology
26.0307, Plant Physiology
26.0308, Plant Molecular Biology
26.0399, Botany/Plant Biology, Other
26.0401, Cell/Cellular Biology and Histology
26.0403, Anatomy
26.0404, Developmental Biology and Embryology
26.0406, Cell/Cellular and Molecular Biology
26.0407, Cell Biology and Anatomy
26.0499, Cell/Cellular Biology and Anatomical Sciences, Other
26.0502, Microbiology, General
26.0503, Medical Microbiology and Bacteriology
26.0504, Virology
26.0505, Parasitology
26.0506, Mycology
26.0507, Immunology
26.0508, Microbiology and Immunology
26.0599, Microbiological Sciences and Immunology, Other
26.0701, Zoology/Animal Biology
26.0702, Entomology
26.0707, Animal Physiology
26.0708, Animal Behavior and Ethology
26.0709, Wildlife Biology
26.0799, Zoology/Animal Biology, Other
26.0801, Genetics, General
26.0802, Molecular Genetics
26.0803, Microbial and Eukaryotic Genetics
26.0804, Animal Genetics
26.0805, Plant Genetics
26.0806, Human/Medical Genetics
26.0807, Genome Sciences/Genomics
26.0899, Genetics, Other
26.0901, Physiology, General
26.0902, Molecular Physiology
26.0903, Cell Physiology
26.0904, Endocrinology
26.0905, Reproductive Biology
26.0907, Cardiovascular Science
26.0908, Exercise Physiology
26.0909, Vision Science/Physiological Optics
26.0910, Pathology/Experimental Pathology
26.0911, Oncology and Cancer Biology
26.0912, Aerospace Physiology and Medicine
26.0999, Physiology, Pathology, and Related Sciences, Other
26.1001, Pharmacology
26.1002, Molecular Pharmacology
26.1003, Neuropharmacology
26.1004, Toxicology
26.1005, Molecular Toxicology
26.1006, Environmental Toxicology
26.1007, Pharmacology and Toxicology
26.1099, Pharmacology and Toxicology, Other
26.1101, Biometry/Biometrics
26.1102, Biostatistics
26.1103, Bioinformatics
26.1104, Computational Biology
26.1199, Biomathematics, Bioinformatics, and Computational Biology, Other
26.1201, Biotechnology
26.1301, Ecology
26.1302, Marine Biology and Biological Oceanography
26.1303, Evolutionary Biology
26.1304, Aquatic Biology/Limnology
26.1305, Environmental Biology
