year,state_fips,county_fips,n_patents,n_inventors
2000,1,1,3,3
2000,1,3,15,15
2000,1,5,1,2
2000,1,9,1,1
2000,1,13,6,6
2000,1,15,3,3
2000,1,19,1,1
2000,1,21,1,1
2000,1,27,1,1
2000,1,29,1,1
2000,1,31,1,1
2000,1,33,11,5
2000,1,39,2,2
2000,1,43,8,7
2000,1,45,4,4
2000,1,47,2,2
2000,1,49,8,8
2000,1,51,5,5
2000,1,53,2,2
2000,1,55,10,12
2000,1,57,4,7
2000,1,61,2,3
2000,1,67,1,1
2000,1,69,6,5
2000,1,71,7,4
2000,1,73,166,185
2000,1,75,1,1
2000,1,77,21,22
2000,1,81,24,29
2000,1,83,13,11
2000,1,87,4,4
2000,1,89,216,228
2000,1,91,2,2
2000,1,93,1,1
2000,1,95,7,7
2000,1,97,36,41
2000,1,101,20,20
2000,1,103,28,27
2000,1,105,4,2
2000,1,107,1,2
2000,1,109,2,2
2000,1,111,1,1
2000,1,115,9,8
2000,1,117,36,26
2000,1,123,4,4
2000,1,125,21,17
2000,1,127,3,2
2000,1,131,1,1
2000,2,20,33,27
2000,2,50,3,2
2000,2,90,15,15
2000,2,110,4,4
2000,2,122,7,7
2000,2,130,1,1
2000,2,150,1,1
2000,2,170,18,15
2000,2,220,1,1
2000,4,1,2,2
2000,4,3,12,14
2000,4,5,50,41
2000,4,7,3,3
2000,4,13,1785,1977
2000,4,15,14,18
2000,4,17,3,4
2000,4,19,438,469
2000,4,21,29,20
2000,4,23,8,8
2000,4,25,36,36
2000,4,27,12,10
2000,5,1,6,4
2000,5,3,2,3
2000,5,5,5,5
2000,5,7,26,29
2000,5,9,7,5
2000,5,11,5,3
2000,5,13,2,2
2000,5,15,6,5
2000,5,17,2,2
2000,5,19,24,12
2000,5,23,11,6
2000,5,29,3,2
2000,5,31,7,7
2000,5,33,5,6
2000,5,35,1,2
2000,5,45,25,29
2000,5,51,11,12
2000,5,55,1,1
2000,5,57,21,3
2000,5,59,3,3
2000,5,63,3,3
2000,5,67,2,1
2000,5,69,5,8
2000,5,75,1,1
2000,5,81,1,1
2000,5,83,2,2
