year,state_fips,county_fips,ai_patents,ai_inventors
2000,1,55,1,1
2000,1,73,12,16
2000,1,81,1,2
2000,1,83,2,2
2000,1,89,23,37
2000,1,97,3,6
2000,1,101,2,2
2000,1,117,7,4
2000,1,125,2,4
2000,2,20,2,1
2000,2,90,4,4
2000,2,170,3,1
2000,4,3,2,2
2000,4,5,1,1
2000,4,13,172,239
2000,4,19,45,62
2000,4,25,2,3
2000,5,7,2,2
2000,5,19,1,1
2000,5,31,1,1
2000,5,45,3,6
2000,5,51,1,1
2000,5,69,1,3
2000,5,85,1,1
2000,5,119,3,6
2000,5,131,1,3
2000,6,1,522,476
2000,6,7,2,1
2000,6,9,1,1
2000,6,13,105,93
2000,6,17,17,15
2000,6,19,3,3
2000,6,27,6,4
2000,6,29,2,4
2000,6,37,380,534
2000,6,39,1,1
2000,6,41,50,50
2000,6,45,2,2
2000,6,47,2,2
2000,6,53,14,14
2000,6,55,2,2
2000,6,57,14,5
2000,6,59,220,247
2000,6,61,24,25
2000,6,63,4,3
2000,6,65,32,28
2000,6,67,67,43
2000,6,69,11,6
2000,6,71,12,11
2000,6,73,320,414
2000,6,75,369,324
2000,6,77,7,8
2000,6,79,8,8
2000,6,81,663,557
2000,6,83,47,54
2000,6,85,2161,2597
2000,6,87,98,88
2000,6,89,2,2
2000,6,93,1,1
2000,6,95,11,10
2000,6,97,19,23
2000,6,99,4,3
2000,6,109,3,1
2000,6,111,46,46
2000,6,113,16,15
2000,6,115,2,2
2000,8,1,36,30
2000,8,5,22,26
2000,8,13,127,149
2000,8,14,28,26
2000,8,27,1,1
2000,8,31,25,25
2000,8,35,15,17
2000,8,41,38,55
2000,8,43,3,3
2000,8,59,25,28
2000,8,67,2,2
2000,8,69,141,171
2000,8,81,2,2
2000,8,87,1,1
2000,8,93,1,3
2000,8,97,1,1
2000,8,99,1,1
2000,8,101,1,1
2000,8,107,2,3
2000,8,117,1,1
2000,8,119,1,1
2000,8,123,21,17
2000,9,1,207,219
2000,9,3,32,42
2000,9,5,18,16
2000,9,7,5,4
2000,9,9,48,54
2000,9,11,8,7
2000,9,13,20,19
2000,9,15,2,2
2000,10,1,1,1
2000,10,3,16,22
2000,10,5,1,1
2000,11,1,46,47
2000,12,1,6,10
2000,12,5,4,7
2000,12,9,28,39
2000,12,11,54,71
2000,12,15,1,1
2000,12,17,1,2
2000,12,19,4,3
2000,12,21,3,3
2000,12,31,14,22
2000,12,33,1,1
2000,12,35,4,1
2000,12,55,1,1
2000,12,57,14,19
2000,12,61,4,7
2000,12,69,1,1
2000,12,71,3,3
2000,12,73,3,3
2000,12,81,5,7
2000,12,83,4,5
2000,12,85,2,2
2000,12,86,26,41
2000,12,87,1,1
2000,12,91,7,6
2000,12,95,33,43
2000,12,97,2,2
2000,12,99,79,116
2000,12,101,4,5
2000,12,103,10,12
2000,12,105,6,8
2000,12,107,2,1
2000,12,109,2,2
2000,12,111,1,1
2000,12,113,1,1
2000,12,115,7,6
2000,12,117,24,20
2000,12,121,1,1
2000,12,127,7,7
2000,13,13,1,1
2000,13,45,1,1
2000,13,51,9,3
2000,13,57,8,8
2000,13,59,3,3
2000,13,63,2,2
2000,13,67,49,43
2000,13,77,2,2
2000,13,89,33,28
2000,13,97,3,3
2000,13,113,5,7
2000,13,115,1,1
2000,13,117,10,4
2000,13,119,1,1
2000,13,121,114,119
2000,13,127,1,1
2000,13,135,58,64
2000,13,137,1,1
2000,13,139,1,1
2000,13,151,3,2
2000,13,187,4,4
2000,13,217,2,1
2000,13,219,1,2
2000,13,241,2,1
2000,13,247,6,4
2000,13,255,1,1
2000,13,295,1,1
2000,13,297,2,2
2000,15,3,10,10
2000,15,9,2,2
2000,16,1,79,108
2000,16,5,1,1
2000,16,11,1,1
2000,16,15,1,1
2000,16,19,9,23
2000,16,27,9,4
2000,16,41,1,1
2000,16,51,1,1
2000,16,57,3,2
2000,17,11,5,1
2000,17,19,28,29
2000,17,29,2,1
2000,17,31,194,254
2000,17,37,7,5
2000,17,43,132,135
2000,17,63,1,1
2000,17,65,16,10
2000,17,75,1,1
2000,17,77,1,4
2000,17,89,33,24
2000,17,91,1,1
2000,17,93,6,5
2000,17,97,67,76
2000,17,99,1,1
2000,17,111,21,20
2000,17,113,3,3
2000,17,119,6,6
2000,17,123,1,1
2000,17,135,3,2
2000,17,143,14,26
2000,17,147,1,1
2000,17,161,2,1
2000,17,163,6,5
2000,17,167,2,2
2000,17,179,8,9
2000,17,195,1,1
2000,17,197,9,8
2000,17,201,1,1
2000,17,203,2,2
2000,18,3,7,13
2000,18,5,7,13
2000,18,11,5,4
2000,18,23,1,1
2000,18,29,2,2
2000,18,35,1,1
2000,18,37,1,1
2000,18,39,1,1
2000,18,43,1,1
2000,18,47,1,1
2000,18,57,28,26
2000,18,59,2,2
2000,18,63,6,4
2000,18,67,4,5
2000,18,81,5,7
2000,18,85,1,3
2000,18,89,6,6
2000,18,97,17,18
2000,18,99,1,1
2000,18,105,3,3
2000,18,109,5,5
2000,18,137,1,2
2000,18,141,6,3
2000,18,153,1,1
2000,18,157,4,9
2000,18,163,1,2
2000,18,165,1,1
2000,18,167,1,1
2000,18,169,1,1
2000,18,173,1,1
2000,18,181,1,1
2000,19,13,5,2
2000,19,17,1,1
2000,19,19,1,1
2000,19,29,1,1
2000,19,61,1,1
2000,19,95,1,1
2000,19,101,1,1
2000,19,103,6,7
2000,19,105,1,1
2000,19,113,17,17
2000,19,125,1,2
2000,19,127,2,3
2000,19,153,13,8
2000,19,155,1,1
2000,19,157,1,1
2000,19,163,2,1
2000,19,169,1,4
2000,19,179,1,1
2000,19,193,5,8
2000,20,5,1,1
2000,20,15,2,2
2000,20,45,3,7
2000,20,79,1,1
2000,20,91,28,34
2000,20,103,2,2
2000,20,121,1,1
2000,20,139,1,1
2000,20,143,3,3
2000,20,155,1,1
2000,20,169,1,4
2000,20,173,4,6
2000,20,177,8,10
