COUNTY_FIPS,COUNTY_NAME,STATE,YEAR_POSTED,PUBLIC_PRIVATE_CLASSIFIER,Data Analysis Postings,AI Postings,Total Postings
10001,Kent,Delaware,2014,Private Sector,1071,67,8944
10001,Kent,Delaware,2015,Private Sector,1009,46,8968
10001,Kent,Delaware,2016,Private Sector,1070,57,10065
10001,Kent,Delaware,2017,Private Sector,1420,134,11940
10001,Kent,Delaware,2018,Private Sector,2346,343,13052
10001,Kent,Delaware,2019,Private Sector,1332,133,8102
10001,Kent,Delaware,2020,Private Sector,1824,185,11480
10001,Kent,Delaware,2021,Private Sector,4211,802,20845
10001,Kent,Delaware,2022,Private Sector,5074,1218,19071
10001,Kent,Delaware,2023,Private Sector,3041,598,13820
10003,New Castle,Delaware,2014,Private Sector,14155,1545,54073
10003,New Castle,Delaware,2015,Private Sector,12280,1187,57177
10003,New Castle,Delaware,2016,Private Sector,15261,1402,61589
10003,New Castle,Delaware,2017,Private Sector,16786,2307,66100
10003,New Castle,Delaware,2018,Private Sector,15196,2892,59692
10003,New Castle,Delaware,2019,Private Sector,12587,2505,51529
10003,New Castle,Delaware,2020,Private Sector,11627,2317,58974
10003,New Castle,Delaware,2021,Private Sector,14539,2783,75340
10003,New Castle,Delaware,2022,Private Sector,16857,3303,71809
10003,New Castle,Delaware,2023,Private Sector,10685,2386,52511
10005,Sussex,Delaware,2014,Private Sector,525,13,9660
10005,Sussex,Delaware,2015,Private Sector,504,3,8998
10005,Sussex,Delaware,2016,Private Sector,557,6,10515
10005,Sussex,Delaware,2017,Private Sector,831,57,13058
10005,Sussex,Delaware,2018,Private Sector,721,11,11587
10005,Sussex,Delaware,2019,Private Sector,483,8,8264
10005,Sussex,Delaware,2020,Private Sector,973,26,11154
10005,Sussex,Delaware,2021,Private Sector,1029,65,16818
10005,Sussex,Delaware,2022,Private Sector,864,53,12341
10005,Sussex,Delaware,2023,Private Sector,712,39,12584
1001,Autauga,Alabama,2014,Private Sector,59,2,1386
1001,Autauga,Alabama,2015,Private Sector,70,0,1630
1001,Autauga,Alabama,2016,Private Sector,72,0,2003
1001,Autauga,Alabama,2017,Private Sector,94,0,1893
1001,Autauga,Alabama,2018,Private Sector,108,0,2156
1001,Autauga,Alabama,2019,Private Sector,143,1,2184
1001,Autauga,Alabama,2020,Private Sector,197,18,3069
1001,Autauga,Alabama,2021,Private Sector,444,29,5150
1001,Autauga,Alabama,2022,Private Sector,327,7,4276
1001,Autauga,Alabama,2023,Private Sector,234,0,4071
1003,Baldwin,Alabama,2014,Private Sector,251,9,6821
1003,Baldwin,Alabama,2015,Private Sector,256,13,6885
1003,Baldwin,Alabama,2016,Private Sector,353,7,9117
1003,Baldwin,Alabama,2017,Private Sector,432,8,8026
1003,Baldwin,Alabama,2018,Private Sector,544,6,9501
1003,Baldwin,Alabama,2019,Private Sector,519,11,9339
1003,Baldwin,Alabama,2020,Private Sector,770,3,13400
1003,Baldwin,Alabama,2021,Private Sector,1100,19,20318
1003,Baldwin,Alabama,2022,Private Sector,1070,21,18257
1003,Baldwin,Alabama,2023,Private Sector,1052,36,20071
1005,Barbour,Alabama,2014,Private Sector,22,0,478
1005,Barbour,Alabama,2015,Private Sector,29,0,578
1005,Barbour,Alabama,2016,Private Sector,26,0,658
1005,Barbour,Alabama,2017,Private Sector,24,2,696
1005,Barbour,Alabama,2018,Private Sector,8,0,710
1005,Barbour,Alabama,2019,Private Sector,25,1,627
1005,Barbour,Alabama,2020,Private Sector,49,2,1246
1005,Barbour,Alabama,2021,Private Sector,54,2,1378
1005,Barbour,Alabama,2022,Private Sector,43,1,1176
1005,Barbour,Alabama,2023,Private Sector,51,1,1303
1007,Bibb,Alabama,2014,Private Sector,9,0,463
1007,Bibb,Alabama,2015,Private Sector,19,0,371
1007,Bibb,Alabama,2016,Private Sector,4,0,421
1007,Bibb,Alabama,2017,Private Sector,4,0,495
1007,Bibb,Alabama,2018,Private Sector,11,0,325
1007,Bibb,Alabama,2019,Private Sector,5,0,206
1007,Bibb,Alabama,2020,Private Sector,13,0,621
1007,Bibb,Alabama,2021,Private Sector,31,1,1040
1007,Bibb,Alabama,2022,Private Sector,40,1,709
1007,Bibb,Alabama,2023,Private Sector,50,0,630
1009,Blount,Alabama,2014,Private Sector,7,0,524
1009,Blount,Alabama,2015,Private Sector,104,0,1675
1009,Blount,Alabama,2016,Private Sector,17,0,1017
1009,Blount,Alabama,2017,Private Sector,19,0,910
1009,Blount,Alabama,2018,Private Sector,16,0,837
1009,Blount,Alabama,2019,Private Sector,17,0,634
1009,Blount,Alabama,2020,Private Sector,30,1,1082
1009,Blount,Alabama,2021,Private Sector,36,4,1571
1009,Blount,Alabama,2022,Private Sector,46,1,1346
1009,Blount,Alabama,2023,Private Sector,48,2,1484
1011,Bullock,Alabama,2014,Private Sector,14,0,143
1011,Bullock,Alabama,2015,Private Sector,9,0,152
1011,Bullock,Alabama,2016,Private Sector,7,0,173
1011,Bullock,Alabama,2017,Private Sector,0,0,127
1011,Bullock,Alabama,2018,Private Sector,3,0,137
1011,Bullock,Alabama,2019,Private Sector,2,0,108
1011,Bullock,Alabama,2020,Private Sector,6,0,293
1011,Bullock,Alabama,2021,Private Sector,24,0,408
1011,Bullock,Alabama,2022,Private Sector,16,0,267
1011,Bullock,Alabama,2023,Private Sector,18,0,431
1013,Butler,Alabama,2014,Private Sector,17,0,565
1013,Butler,Alabama,2015,Private Sector,32,0,726
1013,Butler,Alabama,2016,Private Sector,31,0,913
1013,Butler,Alabama,2017,Private Sector,15,0,719
1013,Butler,Alabama,2018,Private Sector,17,0,615
1013,Butler,Alabama,2019,Private Sector,22,1,515
1013,Butler,Alabama,2020,Private Sector,24,0,680
1013,Butler,Alabama,2021,Private Sector,64,4,1452
1013,Butler,Alabama,2022,Private Sector,49,0,924
1013,Butler,Alabama,2023,Private Sector,38,0,1282
1015,Calhoun,Alabama,2014,Private Sector,158,3,3409
1015,Calhoun,Alabama,2015,Private Sector,312,6,4439
1015,Calhoun,Alabama,2016,Private Sector,329,0,5303
1015,Calhoun,Alabama,2017,Private Sector,281,17,4652
1015,Calhoun,Alabama,2018,Private Sector,261,6,4571
1015,Calhoun,Alabama,2019,Private Sector,287,7,3832
1015,Calhoun,Alabama,2020,Private Sector,263,13,4685
1015,Calhoun,Alabama,2021,Private Sector,378,24,6299
1015,Calhoun,Alabama,2022,Private Sector,465,27,5750
1015,Calhoun,Alabama,2023,Private Sector,352,5,6819
1017,Chambers,Alabama,2014,Private Sector,31,1,712
1017,Chambers,Alabama,2015,Private Sector,36,0,623
1017,Chambers,Alabama,2016,Private Sector,30,4,1016
1017,Chambers,Alabama,2017,Private Sector,19,1,931
1017,Chambers,Alabama,2018,Private Sector,27,0,825
1017,Chambers,Alabama,2019,Private Sector,17,2,672
1017,Chambers,Alabama,2020,Private Sector,36,1,1351
1017,Chambers,Alabama,2021,Private Sector,95,8,1967
1017,Chambers,Alabama,2022,Private Sector,57,6,1628
1017,Chambers,Alabama,2023,Private Sector,77,0,1676
1019,Cherokee,Alabama,2014,Private Sector,6,0,381
1019,Cherokee,Alabama,2015,Private Sector,75,0,584
1019,Cherokee,Alabama,2016,Private Sector,8,0,432
1019,Cherokee,Alabama,2017,Private Sector,9,0,431
1019,Cherokee,Alabama,2018,Private Sector,13,0,351
1019,Cherokee,Alabama,2019,Private Sector,12,4,306
1019,Cherokee,Alabama,2020,Private Sector,22,0,389
1019,Cherokee,Alabama,2021,Private Sector,19,3,543
1019,Cherokee,Alabama,2022,Private Sector,31,0,475
1019,Cherokee,Alabama,2023,Private Sector,14,0,498
1021,Chilton,Alabama,2014,Private Sector,59,0,685
1021,Chilton,Alabama,2015,Private Sector,38,0,758
1021,Chilton,Alabama,2016,Private Sector,51,0,1032
1021,Chilton,Alabama,2017,Private Sector,50,0,1183
1021,Chilton,Alabama,2018,Private Sector,39,0,1087
1021,Chilton,Alabama,2019,Private Sector,41,1,874
1021,Chilton,Alabama,2020,Private Sector,38,2,1376
1021,Chilton,Alabama,2021,Private Sector,104,5,2296
1021,Chilton,Alabama,2022,Private Sector,87,5,2118
1021,Chilton,Alabama,2023,Private Sector,53,6,1974
1023,Choctaw,Alabama,2014,Private Sector,65,0,351
1023,Choctaw,Alabama,2015,Private Sector,31,0,206
1023,Choctaw,Alabama,2016,Private Sector,28,0,266
1023,Choctaw,Alabama,2017,Private Sector,57,1,455
1023,Choctaw,Alabama,2018,Private Sector,32,0,404
1023,Choctaw,Alabama,2019,Private Sector,86,10,334
1023,Choctaw,Alabama,2020,Private Sector,41,3,509
1023,Choctaw,Alabama,2021,Private Sector,38,0,400
